Num_species,Replicate_number,Num_total_DAR,Num_cDAR,Num_uDAR
50,0,289,95,194
50,1,289,80,209
50,2,289,85,204
50,3,289,86,203
50,4,289,95,194
50,5,289,93,196
50,6,289,91,198
50,7,289,92,197
50,8,289,92,197
50,9,289,87,202
50,10,289,81,208
50,11,289,88,201
50,12,289,94,195
50,13,289,73,216
50,14,289,92,197
50,15,289,95,194
50,16,289,87,202
50,17,289,90,199
50,18,289,90,199
50,19,289,90,199
50,20,289,94,195
50,21,289,88,201
50,22,289,88,201
50,23,289,98,191
50,24,289,87,202
50,25,289,97,192
50,26,289,93,196
50,27,289,92,197
50,28,289,78,211
50,29,289,74,215
50,30,289,100,189
50,31,289,82,207
50,32,289,100,189
50,33,289,95,194
50,34,289,82,207
50,35,289,87,202
50,36,289,98,191
50,37,289,95,194
50,38,289,92,197
50,39,289,93,196
50,40,289,88,201
50,41,289,78,211
50,42,289,87,202
50,43,289,93,196
50,44,289,104,185
50,45,289,92,197
50,46,289,89,200
50,47,289,91,198
50,48,289,87,202
50,49,289,97,192
50,50,289,97,192
50,51,289,96,193
50,52,289,95,194
50,53,289,94,195
50,54,289,87,202
50,55,289,89,200
50,56,289,93,196
50,57,289,97,192
50,58,289,92,197
50,59,289,95,194
50,60,289,91,198
50,61,289,98,191
50,62,289,92,197
50,63,289,105,184
50,64,289,90,199
50,65,289,95,194
50,66,289,81,208
50,67,289,92,197
50,68,289,93,196
50,69,289,97,192
50,70,289,81,208
50,71,289,92,197
50,72,289,86,203
50,73,289,95,194
50,74,289,90,199
50,75,289,94,195
50,76,289,87,202
50,77,289,90,199
50,78,289,92,197
50,79,289,99,190
50,80,289,101,188
50,81,289,93,196
50,82,289,92,197
50,83,289,82,207
50,84,289,78,211
50,85,289,77,212
50,86,289,84,205
50,87,289,87,202
50,88,289,84,205
50,89,289,96,193
50,90,289,89,200
50,91,289,103,186
50,92,289,96,193
50,93,289,89,200
50,94,289,93,196
50,95,289,93,196
50,96,289,93,196
50,97,289,89,200
50,98,289,93,196
50,99,289,92,197
100,0,289,99,190
100,1,289,103,186
100,2,289,100,189
100,3,289,108,181
100,4,289,100,189
100,5,289,99,190
100,6,289,109,180
100,7,289,108,181
100,8,289,100,189
100,9,289,104,185
100,10,289,103,186
100,11,289,105,184
100,12,289,105,184
100,13,289,102,187
100,14,289,107,182
100,15,289,105,184
100,16,289,104,185
100,17,289,107,182
100,18,289,102,187
100,19,289,101,188
100,20,289,94,195
100,21,289,112,177
100,22,289,99,190
100,23,289,100,189
100,24,289,110,179
100,25,289,109,180
100,26,289,106,183
100,27,289,108,181
100,28,289,111,178
100,29,289,107,182
100,30,289,113,176
100,31,289,111,178
100,32,289,102,187
100,33,289,105,184
100,34,289,100,189
100,35,289,102,187
100,36,289,104,185
100,37,289,104,185
100,38,289,110,179
100,39,289,109,180
100,40,289,101,188
100,41,289,90,199
100,42,289,99,190
100,43,289,106,183
100,44,289,115,174
100,45,289,105,184
100,46,289,99,190
100,47,289,104,185
100,48,289,109,180
100,49,289,108,181
100,50,289,104,185
100,51,289,97,192
100,52,289,102,187
